‰‡Ú‡;»ÕÕ ÔÎ‡Ú.; ¡ ;—‡Î¸‰Ó
01.01.2015;266005776;18210102010010000110;-0,13
01.01.2015;266005776;18210301000010000110;-6245,58
01.01.2015;266005776;18210604011020000110;-456
01.01.2015;266006071;18210604011020000110;-31,88
01.01.2015;266003465;18210101012020000110;-382,43
01.01.2015;266003465;18210101011010000110;-42,49
01.01.2015;266003465;18210301000010000110;-190,58
01.01.2015;266009308;18210909010010000110;-0,37
01.01.2015;266009308;18210909030080000110;-65,48
01.01.2015;266009308;18210604011020000110;-16,27
01.01.2015;266009308;18210101011010000110;-0,05
01.01.2015;266009308;18211603010010000140;-300
01.01.2015;266009308;18210101012020000110;-0,13
01.01.2015;266004324;18210606032040000110;-2,88
01.01.2015;266004324;18210502010020000110;-98,1
01.01.2015;266034022;18210301000010000110;-624,07
01.01.2015;266034022;18210602010020000110;-544291,92
01.01.2015;266034022;18210604011020000110;-466,06
01.01.2015;266034022;18210909030080000110;-1404,44
01.01.2015;266034022;18211603010010000140;-700
01.01.2015;266029128;18210602010020000110;-12114,21
01.01.2015;266012734;18210606032040000110;-423,27
01.01.2015;278106433;18210606032040000110;-12254,27
01.01.2015;266008248;18210905050010000110;-4,78
01.01.2015;266008248;18210904030010000110;-158,32
01.01.2015;266008248;18210908040080000140;-1597,78
01.01.2015;266008248;18210907052040000110;-313,51
01.01.2015;266008248;18210904010020000110;-7,41
01.01.2015;266008248;18210908030070000140;-1926,18
01.01.2015;266008248;18210907032040000110;-334,35
01.01.2015;266008248;18210908060010000140;-556,35
01.01.2015;266008248;18210908020060000140;-6497,38
01.01.2015;266007734;18210909010010000110;-320,5
01.01.2015;266007734;18210909030080000110;-24,99
01.01.2015;266007734;18210909020070000110;-373,6
01.01.2015;266007734;18210908040080000140;-0,11
01.01.2015;266003472;18210301000010000110;-6677,72
01.01.2015;266003472;18211603010010000140;-2000
01.01.2015;266003472;18210604011020000110;-1191,13
01.01.2015;266003472;18210101012020000110;-102038,38
01.01.2015;266003472;18210606032040000110;-2039,98
01.01.2015;266006113;18210604011020000110;-1,65
01.01.2015;266006113;18210606022040000110;-5,83
01.01.2015;266006113;18210606012040000110;-83733,87
01.01.2015;266016707;18210604011020000110;-297,08
01.01.2015;266016707;18210602010020000110;-50,49
01.01.2015;266005455;18210604011020000110;-2,66
01.01.2015;266005455;18210606032040000110;-137,55
01.01.2015;266005455;18210602010020000110;-41,8
01.01.2015;266019151;18210604011020000110;-41,68
01.01.2015;266019151;18210101011010000110;-10
01.01.2015;266019151;18210909020070000110;-543,27
01.01.2015;266019151;18210101012020000110;-90
01.01.2015;266019151;18210602010020000110;-0,02
