ƒ‡Ú‡;»ÌÌ; ¡ ;—‡Î¸‰Ó
01.01.2015;0266021471;18210102010010000110;-64416,85
01.01.2015;0266033847;18210301000010000110;-60892,87
01.01.2015;0266030243;18210101012020000110;-219162,48
01.01.2015;0266024994;18210502010020000110;-64455,67
01.01.2015;0266017193;18210301000010000110;-96971,51
01.01.2015;0266016898;18210502020020000110;-94404,95
01.01.2015;0266029921;18210301000010000110;-960030,53
01.01.2015;0266029921;18210909010010000110;-58304,72
01.01.2015;0266029921;18210101011010000110;-337314,17
01.01.2015;0266029921;18210101012020000110;-908154,66
01.01.2015;0266022500;18210301000010000110;-147620,06
01.01.2015;0266022500;18210101012020000110;-205197,9
01.01.2015;0266024112;18210102010010000110;-1920606,93
01.01.2015;0266031550;18210501012010000110;-194653,26
01.01.2015;0266017073;18210101012020000110;-69887,02
01.01.2015;0266017073;18210101011010000110;-66887,56
01.01.2015;0266027307;18210101012020000110;-3379183,34
01.01.2015;0266027307;18210301000010000110;-5987231,57
01.01.2015;0266027307;18210101011010000110;-219594,07
01.01.2015;0266017027;18210602010020000110;-141794,08
01.01.2015;0266017027;18210102010010000110;-2527651,9
01.01.2015;0266017027;18210301000010000110;-8578200,51
01.01.2015;0266028614;18210301000010000110;-237239,11
01.01.2015;0266028614;18210101012020000110;-178418,94
01.01.2015;0266029664;18210101012020000110;-182186,75
01.01.2015;0266033702;18210301000010000110;-1376818,25
01.01.2015;0266033702;18210602010020000110;-83786,48
01.01.2015;0266033702;18210102010010000110;-7677938,68
01.01.2015;0266028195;18210301000010000110;-53532,29
01.01.2015;0266032547;18210909010010000110;-426720,39
01.01.2015;0266034488;18210301000010000110;-183202,39
01.01.2015;0266021778;18210909010010000110;-76654,59
01.01.2015;0266015894;18210301000010000110;-1375743,34
01.01.2015;0266015894;18210101012020000110;-997729,78
01.01.2015;0266015894;18210101011010000110;-111368,5
01.01.2015;0266022676;18210501011010000110;-186941,75
01.01.2015;0266023817;18210909010010000110;-251724,85
01.01.2015;0266020238;18210909030080000110;-681784,46
01.01.2015;0266020238;18210909020070000110;-110357,54
01.01.2015;0266020238;18210909010010000110;-4565249,97
01.01.2015;0266020238;18210301000010000110;-11546028,48
01.01.2015;0266031007;18210101012020000110;-188104
01.01.2015;0266009700;18210502020020000110;-64552,95
01.01.2015;0266018101;18210502020020000110;-395736,58
01.01.2015;0266030596;18210101012020000110;-112865,39
01.01.2015;0266029520;18210301000010000110;-122797,02
01.01.2015;0266033357;18210602010020000110;-97466,13
01.01.2015;0222006645;18210301000010000110;-860358,3
01.01.2015;0266030028;18210501012010000110;-127990,96
01.01.2015;0266025282;18210301000010000110;-7701203,23
01.01.2015;0266025282;18210102010010000110;-110998
01.01.2015;0266025691;18210301000010000110;-51967
01.01.2015;0266014516;18210101011010000110;-424174,17
01.01.2015;0266014516;18210301000010000110;-3625686,79
01.01.2015;0266014516;18210101012020000110;-1140918,5
01.01.2015;0266027441;18210101012020000110;-145446
01.01.2015;0266029657;18210301000010000110;-158299,31
01.01.2015;0266021432;18210909010010000110;-97271,8
01.01.2015;0266021432;18210301000010000110;-51521,86
01.01.2015;0266016400;18210908020060000140;-86411,05
01.01.2015;0266004250;18210101012020000110;-151704,82
01.01.2015;0266004250;18210101011010000110;-57980,57
01.01.2015;0266021383;18210301000010000110;-89293
01.01.2015;0266015559;18210301000010000110;-72953
01.01.2015;0266001250;18210908030070000140;-59268,77
01.01.2015;0266001250;18210908020060000140;-62589,33
01.01.2015;0266028759;18210301000010000110;-857361,77
01.01.2015;0266028759;18210101012020000110;-744329,08
01.01.2015;0266028759;18210101011010000110;-279322,93
01.01.2015;0266028759;18210102010010000110;-54665,09
01.01.2015;7734502984;18210909010010000110;-57799,79
01.01.2015;7734502984;18210602010020000110;-134192,01
01.01.2015;7734502984;18210301000010000110;-156071,51
01.01.2015;0266031977;18210301000010000110;-56601,04
01.01.2015;0266032378;18210301000010000110;-355957,76
01.01.2015;0266016672;18210101012020000110;-81383,57
01.01.2015;0266032258;18210301000010000110;-86275,02
01.01.2015;0253015880;18210301000010000110;-145704,59
01.01.2015;0266024176;18210501012010000110;-88763,6
01.01.2015;0266027681;18210301000010000110;-115278,41
01.01.2015;0266002422;18210502010020000110;-291899,48
01.01.2015;0266002422;18210502020020000110;-63969,27
01.01.2015;0266002207;18210101012020000110;-75851,38
01.01.2015;0266002207;18210301000010000110;-74019,53
01.01.2015;0266020693;18210301000010000110;-79419,53
01.01.2015;0274075752;18210904010020000110;-217955,13
01.01.2015;0266016986;18210301000010000110;-52199,06
