ƒ‡Ú‡;»ÌÌ; ¡ ;—‡Î¸‰Ó
01.03.2015;0266013142;18210101011010000110;-28,93
01.03.2015;0266005367;18210606032040000110;-167,23
01.03.2015;0266005776;18210301000010000110;-6293,66
01.03.2015;0266005776;18210909030080000110;-10,8
01.03.2015;0266005776;18210602010020000110;-2187,23
01.03.2015;0266005776;18210606032040000110;-18130,99
01.03.2015;0266005776;18210102010010000110;-0,13
01.03.2015;0266005776;18210604011020000110;-456
01.03.2015;0266006071;18210604011020000110;-35,46
01.03.2015;0266003465;18210604011020000110;-0,06
01.03.2015;0266009308;18210909030080000110;-65,48
01.03.2015;0266009308;18211603010010000140;-300
01.03.2015;0266009308;18210101011010000110;-0,05
01.03.2015;0266009308;18210101012020000110;-0,13
01.03.2015;0266009308;18210604011020000110;-16,27
01.03.2015;0266009308;18210909010010000110;-0,37
01.03.2015;0266004324;18210606032040000110;-2,88
01.03.2015;0266034022;18210602010020000110;-15192,69
01.03.2015;0266034022;18211603010010000140;-700
01.03.2015;0266034022;18210909030080000110;-1404,44
01.03.2015;0266034022;18210604011020000110;-917,14
01.03.2015;0266034022;18210606032040000110;-4067,04
01.03.2015;0266034022;18210301000010000110;-634,29
01.03.2015;0266029128;18210606032040000110;-29,1
01.03.2015;0266029128;18210602010020000110;-12114,21
01.03.2015;0266012734;18210606032040000110;-13,76
01.03.2015;0278106433;18210606032040000110;-1475,41
01.03.2015;0266008248;18210908030070000140;-1926,18
01.03.2015;0266008248;18210908040080000140;-1602,23
01.03.2015;0266008248;18210907032040000110;-335,05
01.03.2015;0266008248;18210907052040000110;-314,19
01.03.2015;0266008248;18210904010020000110;-7,43
01.03.2015;0266008248;18210905050010000110;-4,78
01.03.2015;0266008248;18210908060010000140;-556,35
01.03.2015;0266008248;18210904030010000110;-158,46
01.03.2015;0266008248;18210908020060000140;-6497,38
01.03.2015;0266020936;18210301000010000110;-18660,6
01.03.2015;0266007734;18210909020070000110;-374,58
01.03.2015;0266007734;18210909030080000110;-25,04
01.03.2015;0266007734;18210909010010000110;-321,34
01.03.2015;0266007734;18210908040080000140;-0,11
01.03.2015;0266003472;18210606032040000110;-2179,67
01.03.2015;0266003472;18210604011020000110;-1191,13
01.03.2015;0266003472;18210101012020000110;-102795,62
01.03.2015;0266003472;18210301000010000110;-6677,72
01.03.2015;0266003472;18211603010010000140;-2000
01.03.2015;0266006113;18210606032040000110;-3359,25
01.03.2015;0266006113;18210604011020000110;-1009,86
01.03.2015;0266016707;18210604011020000110;-454,85
01.03.2015;0266016707;18210602010020000110;-50,49
01.03.2015;0266005455;18210606032040000110;-35,33
01.03.2015;0266005455;18210604011020000110;-2,66
01.03.2015;0266005455;18210602010020000110;-41,8
01.03.2015;0266019151;18210101012020000110;-90
01.03.2015;0266019151;18210604011020000110;-298,83
01.03.2015;0266019151;18210101011010000110;-10
01.03.2015;0266019151;18210602010020000110;-0,02
01.03.2015;0266019151;18210909020070000110;-543,27
01.03.2015;0266001605;18210602010020000110;-326,59
01.03.2015;0266001605;18210604011020000110;-2789,7
01.03.2015;0266001605;18210101012020000110;-1070,42
01.03.2015;0266001605;18210703000010000110;-2,79
01.03.2015;0266001605;18210606032040000110;-2199,73
01.03.2015;0266001605;18210101011010000110;-147,79
01.03.2015;0266001605;18211603010010000140;-200
01.03.2015;0266001605;18210909010010000110;-0,03
01.03.2015;0266005261;18210909030080000110;-0,78
01.03.2015;0266005261;18210606032040000110;-1,91
01.03.2015;0266003190;18210909030080000110;-0,02
01.03.2015;0266003190;18210909020070000110;-0,02
01.03.2015;0266003190;18210904020020000110;-42,85
01.03.2015;0266013054;18210703000010000110;-0,04
01.03.2015;0266013054;18210901020040000110;-8,82
01.03.2015;0266013054;18210101012020000110;-1
01.03.2015;0266013054;18210101011010000110;-0,57
01.03.2015;0266010575;18210501022010000110;-63037,25
01.03.2015;0266010575;18210102010010000110;-465818,57
01.03.2015;0266010575;18210604011020000110;-1760,52
01.03.2015;0266010575;18211603010010000140;-400
01.03.2015;0266010575;18210909010010000110;-34632,74
01.03.2015;0266010575;18210602010020000110;-1027,67
01.03.2015;0266010575;18210101011010000110;-192,9
01.03.2015;0266010575;18210301000010000110;-3000
01.03.2015;0266010575;18210101012020000110;-285,7
01.03.2015;0276117302;18210602010020000110;-3,97
01.03.2015;0266019024;18210909020070000110;-0,25
01.03.2015;0266019024;18210604011020000110;-3068,19
01.03.2015;0266028452;18210604011020000110;-168,94
01.03.2015;0266028452;18210301000010000110;-1,84
01.03.2015;0266008167;18211603010010000140;-4300
01.03.2015;0266017161;18210604011020000110;-917,6
01.03.2015;0266017612;18210909030080000110;-2778,7
01.03.2015;0266017612;18210909010010000110;-25124,64
01.03.2015;0266017612;18210604011020000110;-2062,29
01.03.2015;0266017612;18210904010020000110;-16775,8
01.03.2015;0266017612;18210301000010000110;-692493,83
01.03.2015;0266017612;18210907052040000110;-6139,09
01.03.2015;0266017612;18210908030070000140;-105333,99
01.03.2015;0266017612;18210906010020000110;-148,84
01.03.2015;0266025003;18210602010020000110;-18,32
01.03.2015;0266025003;18210604011020000110;-0,55
01.03.2015;0276016368;18211603010010000140;-1200
01.03.2015;0276005447;18210604011020000110;-0,16
01.03.2015;0266043010;18210301000010000110;-2987,2
01.03.2015;0263018551;18210301000010000110;-336739,38
01.03.2015;0266042263;18210301000010000110;-41,06
01.03.2015;0266042263;18210602010020000110;-28,1
01.03.2015;0266042263;18210604011020000110;-805,72
01.03.2015;0266011716;18210904020020000110;-10,7
01.03.2015;0266021810;18210101012020000110;-900
01.03.2015;0266021810;18210101011010000110;-100
01.03.2015;0266031046;18210908040080000140;-5798,84
01.03.2015;0266029294;18211603010010000140;-100
01.03.2015;0266031825;18210301000010000110;-1000
01.03.2015;0266031832;18210101012020000110;-900
01.03.2015;0266031832;18210101011010000110;-100
01.03.2015;0266028702;18210909020070000110;-5069,11
01.03.2015;0266028702;18210909030080000110;-5283,88
01.03.2015;0266028702;18210909010010000110;-36609,39
01.03.2015;0266028702;18211603010010000140;-400
01.03.2015;0266028702;18210101011010000110;-100
01.03.2015;0266028702;18210101012020000110;-900
01.03.2015;0266024754;18210301000010000110;-6000
01.03.2015;0266024754;18210101012020000110;-5400
01.03.2015;0266024754;18210101011010000110;-600
01.03.2015;0266024754;18211603010010000140;-400
01.03.2015;0267008113;18211603010010000140;-50
01.03.2015;0266005695;18210904020020000110;-37
01.03.2015;0266005695;18210901020040000110;-66
01.03.2015;0266005695;18210301000010000110;-17744,14
01.03.2015;7705913186;18210602010020000110;-92,6
01.03.2015;0266012300;18210906010020000110;-1531,19
01.03.2015;0266012300;18210901020040000110;-9880,51
01.03.2015;0266012300;18210101012020000110;-94,63
01.03.2015;0266012300;18210101011010000110;-72,97
01.03.2015;0266012300;18210905050010000110;-18,16
01.03.2015;0266012300;18210907032040000110;-53,14
01.03.2015;0266016954;18210909030080000110;-12199,39
01.03.2015;0266042760;18210301000010000110;-1965139,49
01.03.2015;0266015943;18210602010020000110;-20,22
01.03.2015;0266015943;18210101012020000110;-835
01.03.2015;0266015943;18210101011010000110;-942,47
01.03.2015;0266015943;18210301000010000110;-4028,34
01.03.2015;0266015943;18210909010010000110;-995,42
01.03.2015;0266015943;18211603010010000140;-400
01.03.2015;0266019264;18210101012020000110;-4,4
01.03.2015;0266019264;18210904030010000110;-2681,18
01.03.2015;0266019264;18210907032040000110;-132,26
01.03.2015;0266019264;18210901020040000110;-538,14
01.03.2015;0266019264;18210904010020000110;-1020,04
01.03.2015;0266019264;18210101011010000110;-2,56
01.03.2015;0266022852;18210501021010000110;-31,81
01.03.2015;0266022852;18210907032040000110;-0,03
01.03.2015;0266016930;18210901020040000110;-5,48
01.03.2015;0266016930;18210909030080000110;-10,12
