Дата;инн;КБК;сальдо
01.03.2015;0266005776;18210604011020000110;-456
01.03.2015;0266005776;18210301000010000110;-6237
01.03.2015;0266005776;18210606032040000110;-4845,86
01.03.2015;0266005776;18210602010020000110;-1000
01.03.2015;0266009308;18211603010010000140;-300
01.03.2015;0266034022;18210602010020000110;-15192,69
01.03.2015;0266034022;18211603010010000140;-700
01.03.2015;0266034022;18210606032040000110;-4067,04
01.03.2015;0266034022;18210301000010000110;-593,94
01.03.2015;0266034022;18210909030080000110;-1404,44
01.03.2015;0266034022;18210604011020000110;-917,14
01.03.2015;0266029128;18210602010020000110;-12114,21
01.03.2015;0278106433;18210606032040000110;-1474,41
01.03.2015;0266008248;18210908030070000140;-861
01.03.2015;0266008248;18210908040080000140;-573,98
01.03.2015;0266008248;18210908020060000140;-6497,38
01.03.2015;0266008248;18210907052040000110;-228,21
01.03.2015;0266008248;18210908060010000140;-239,16
01.03.2015;0266008248;18210908040080000140;-1028,41
01.03.2015;0266008248;18210908060010000140;-317,19
01.03.2015;0266008248;18210908030070000140;-1065,18
01.03.2015;0266008248;18210904030010000110;-141,4
01.03.2015;0266008248;18210907032040000110;-245,05
01.03.2015;0266020936;18210301000010000110;-18660,6
01.03.2015;0266007734;18210909010010000110;-214,29
01.03.2015;0266007734;18210909020070000110;-247,37
01.03.2015;0266007734;18210909020070000110;-127,24
01.03.2015;0266007734;18210909010010000110;-107,08
01.03.2015;0266003472;18210606032040000110;-1179,67
01.03.2015;0266003472;18210101012020000110;-98338,88
01.03.2015;0266003472;18211603010010000140;-2000
01.03.2015;0266003472;18210101012020000110;-3583,78
01.03.2015;0266003472;18210101012020000110;-900
01.03.2015;0266003472;18210606032040000110;-1000
01.03.2015;0266003472;18210301000010000110;-999,93
01.03.2015;0266003472;18210604011020000110;-1000
01.03.2015;0266003472;18210604011020000110;-191,13
01.03.2015;0266003472;18210301000010000110;-5677,79
01.03.2015;0266006113;18210604011020000110;-1001
01.03.2015;0266006113;18210606032040000110;-3359,25
01.03.2015;0266016707;18210604011020000110;-454,85
01.03.2015;0266019151;18210909020070000110;-543,27
01.03.2015;0266019151;18210604011020000110;-255,32
01.03.2015;0266001605;18211603010010000140;-200
01.03.2015;0266001605;18210604011020000110;-2789,7
01.03.2015;0266001605;18210606032040000110;-2199,73
01.03.2015;0266001605;18210101012020000110;-1070,42
01.03.2015;0266001605;18210101011010000110;-147,79
01.03.2015;0266001605;18210602010020000110;-326,59
01.03.2015;0245017361;18211606000010000140;-30000
01.03.2015;0266010575;18210301000010000110;-3000
01.03.2015;0266010575;18210909010010000110;-19686,09
01.03.2015;0266010575;18210102010010000110;-288940
01.03.2015;0266010575;18210102010010000110;-69658,57
01.03.2015;0266010575;18210501022010000110;-63037,25
01.03.2015;0266010575;18210909010010000110;-14952,06
01.03.2015;0266010575;18210101011010000110;-110
01.03.2015;0266010575;18210102010010000110;-107220
01.03.2015;0266010575;18210604011020000110;-1760,52
01.03.2015;0266010575;18211603010010000140;-400
01.03.2015;0266010575;18210602010020000110;-1000
01.03.2015;0266010575;18210101012020000110;-222,93
01.03.2015;0266019024;18210604011020000110;-3033
01.03.2015;0266028452;18210604011020000110;-168,94
01.03.2015;0266008167;18211603010010000140;-4300
01.03.2015;0266001820;11302011010000100;-16987,5
01.03.2015;0266017161;18210604011020000110;-917,6
01.03.2015;0266017612;18210909030080000110;-2778,7
01.03.2015;0266017612;18210906010020000110;-148,84
01.03.2015;0266017612;18210604011020000110;-2062,29
01.03.2015;0266017612;18210907052040000110;-6139,09
01.03.2015;0266017612;18210908030070000140;-105333,99
01.03.2015;0266017612;18210909010010000110;-25124,64
01.03.2015;0266017612;18210301000010000110;-692493,83
01.03.2015;0266017612;18210904010020000110;-16775,8
01.03.2015;0276016368;18211603010010000140;-1200
01.03.2015;0266043010;18210301000010000110;-2987,2
01.03.2015;0263018551;18210301000010000110;-333446
01.03.2015;0263018551;18210301000010000110;-3385,08
01.03.2015;0266042263;18210604011020000110;-800
01.03.2015;0266021810;18210101012020000110;-900
01.03.2015;0266031046;18210908040080000140;-5798,84
01.03.2015;0266031825;18210301000010000110;-1000
01.03.2015;0266031832;18210101012020000110;-900
01.03.2015;0266028702;18210909030080000110;-3272
01.03.2015;0266028702;18211603010010000140;-400
01.03.2015;0266028702;18210909020070000110;-3062
01.03.2015;0266028702;18210909020070000110;-2007,11
01.03.2015;0266028702;18210909010010000110;-12549,98
01.03.2015;0266028702;18210909010010000110;-24062,9
01.03.2015;0266028702;18210101012020000110;-900
01.03.2015;0266028702;18210909030080000110;-2011,88
01.03.2015;0266024754;18210301000010000110;-6000
01.03.2015;0266024754;18210101012020000110;-5400
01.03.2015;0266024754;18210101011010000110;-600
01.03.2015;0266024754;18211603010010000140;-400
01.03.2015;0266042760;18210301000010000110;-1963889,17
01.03.2015;0266042760;18210301000010000110;-1667,09
01.03.2015;0266005695;18210301000010000110;-156,7
01.03.2015;0266005695;18210301000010000110;-16592
01.03.2015;0266005695;18210301000010000110;-1000
01.03.2015;0266012300;18210906010020000110;-1531,19
01.03.2015;0266012300;18210901020040000110;-4804,86
01.03.2015;0266012300;18210901020040000110;-3835,3
01.03.2015;0266012300;18210901020040000110;-1241,67
01.03.2015;0266016954;18210909030080000110;-2880,39
01.03.2015;0266016954;18210909030080000110;-9315
01.03.2015;0266015943;18210101012020000110;-835
01.03.2015;0266015943;18210101011010000110;-942,47
01.03.2015;0266015943;18210301000010000110;-4028,34
01.03.2015;0266015943;18210909010010000110;-995,42
01.03.2015;0266015943;18211603010010000140;-400
01.03.2015;0266019264;18210901020040000110;-348,19
01.03.2015;0266019264;18210904030010000110;-953
01.03.2015;0266019264;18210904010020000110;-357
01.03.2015;0266019264;18210904030010000110;-1728,44
01.03.2015;0266019264;18210904010020000110;-663,14
01.03.2015;0266019264;18210901020040000110;-190
01.03.2015;0266016930;18210907032040000110;-225,37
01.03.2015;0266016930;18210904010020000110;-2937,64
01.03.2015;0266016930;18210904010020000110;-1499,8
01.03.2015;0266016930;18210907032040000110;-117,06
01.03.2015;7716199693;18210604011020000110;-927,52
01.03.2015;7716199693;18210604011020000110;-2282
01.03.2015;7716199693;18210602010020000110;-320271
01.03.2015;7716199693;18210602010020000110;-770032,88
01.03.2015;0266017235;18210907032040000110;-115
01.03.2015;0266017235;18210908030070000140;-286
01.03.2015;0266017235;18210904030010000110;-12140,84
01.03.2015;0266017235;18210901020040000110;-594,11
01.03.2015;0266017235;18210904010020000110;-7248,45
01.03.2015;0266017235;18210904030010000110;-4690,49
01.03.2015;0266017235;18210907052040000110;-9298,94
01.03.2015;0266017235;18210907052040000110;-3624
01.03.2015;0266017235;18210907032040000110;-265,86
01.03.2015;0266017235;18210901020040000110;-1875,31
01.03.2015;0266017235;18210908030070000140;-185,66
